gov_name_f,gov_id,2011,2012,2013,2014,2015,2016
Tunis,11,26,26,26,26,26,26
Ariana,12,2,2,2,2,2,2
Ben Arous,13,9,7,7,7,7,7
Manubah,14,3,4,4,4,5,5
Nabeul,15,9,8,8,8,9,9
Zaghouan,16,4,4,4,4,4,5
Bizerte,17,9,9,9,9,9,10
Béja,21,10,9,9,9,9,9
Jendouba,22,9,7,7,7,7,7
Le Kef,23,10,10,10,10,10,10
Siliana,24,7,7,8,8,8,8
Sousse,31,9,9,9,9,9,9
Monastir,32,15,15,15,15,15,15
Mahdia,33,14,14,14,14,14,14
Sfax,34,12,12,13,14,14,14
Kairouan,41,10,10,10,10,10,12
Kassérine,42,13,13,13,13,13,13
Sidi Bou Zid,43,7,7,7,7,7,7
Gabès,51,7,7,7,7,9,9
Médenine,52,7,7,8,8,8,8
Tataouine,53,6,6,6,6,6,6
Gafsa,61,8,8,8,8,8,8
Tozeur,62,5,3,3,3,3,3
Kebili,63,4,4,4,4,4,4
