gov_name_f,gov_name_a,gov_id,club_a,club_f,Nombre_clubs,pionniers_club
Tunis,تونس,11,ادبي وفكري,,14,148
Tunis,تونس,11,المسرح,,28,443
Tunis,تونس,11,الموسيقى,,19,398
Tunis,تونس,11,تعبير جسماني,,13,305
Tunis,تونس,11,سينما,,6,84
Tunis,تونس,11,فن تشكيلي,,27,457
Tunis,تونس,11,الإعلامية,,11,131
Tunis,تونس,11,اختصاصات اخرى,,11,161
Ariana,أريانة,12,ادبي وفكري,,2,41
Ariana,أريانة,12,المسرح,,2,60
Ariana,أريانة,12,الموسيقى,,4,65
Ariana,أريانة,12,تعبير جسماني,,1,31
Ariana,أريانة,12,سينما,,0,0
Ariana,أريانة,12,فن تشكيلي,,1,60
Ariana,أريانة,12,الإعلامية,,1,40
Ariana,أريانة,12,اختصاصات اخرى,,4,95
Ben Arous,بن عروس,13,ادبي وفكري,,5,77
Ben Arous,بن عروس,13,المسرح,,10,167
Ben Arous,بن عروس,13,الموسيقى,,8,93
Ben Arous,بن عروس,13,تعبير جسماني,,3,46
Ben Arous,بن عروس,13,سينما,,6,55
Ben Arous,بن عروس,13,فن تشكيلي,,15,191
Ben Arous,بن عروس,13,الإعلامية,,4,34
Ben Arous,بن عروس,13,اختصاصات اخرى,,3,26
Manubah,منوبة,14,ادبي وفكري,,7,189
Manubah,منوبة,14,المسرح,,5,126
Manubah,منوبة,14,الموسيقى,,3,175
Manubah,منوبة,14,تعبير جسماني,,1,13
Manubah,منوبة,14,سينما,,3,73
Manubah,منوبة,14,فن تشكيلي,,4,180
Manubah,منوبة,14,الإعلامية,,4,214
Manubah,منوبة,14,اختصاصات اخرى,,0,0
Nabeul,نابل,15,ادبي وفكري,,1,10
Nabeul,نابل,15,المسرح,,13,166
Nabeul,نابل,15,الموسيقى,,14,199
Nabeul,نابل,15,تعبير جسماني,,7,67
Nabeul,نابل,15,سينما,,0,0
Nabeul,نابل,15,فن تشكيلي,,10,158
Nabeul,نابل,15,الإعلامية,,4,58
Nabeul,نابل,15,اختصاصات اخرى,,4,30
Zaghouan,زغوان,16,ادبي وفكري,,1,28
Zaghouan,زغوان,16,المسرح,,2,24
Zaghouan,زغوان,16,الموسيقى,,2,42
Zaghouan,زغوان,16,تعبير جسماني,,1,10
Zaghouan,زغوان,16,سينما,,1,12
Zaghouan,زغوان,16,فن تشكيلي,,6,94
Zaghouan,زغوان,16,الإعلامية,,3,53
Zaghouan,زغوان,16,اختصاصات اخرى,,1,12
Bizerte,بنزرت,17,ادبي وفكري,,12,283
Bizerte,بنزرت,17,المسرح,,11,165
Bizerte,بنزرت,17,الموسيقى,,14,200
Bizerte,بنزرت,17,تعبير جسماني,,5,80
Bizerte,بنزرت,17,سينما,,4,44
Bizerte,بنزرت,17,فن تشكيلي,,15,240
Bizerte,بنزرت,17,الإعلامية,,12,168
Bizerte,بنزرت,17,اختصاصات اخرى,,9,174
Béja,باجة,21,ادبي وفكري,,2,30
Béja,باجة,21,المسرح,,7,67
Béja,باجة,21,الموسيقى,,5,69
Béja,باجة,21,تعبير جسماني,,3,50
Béja,باجة,21,سينما,,4,39
Béja,باجة,21,فن تشكيلي,,9,154
Béja,باجة,21,الإعلامية,,6,116
Béja,باجة,21,اختصاصات اخرى,,2,27
Jendouba,جندوبة,22,ادبي وفكري,,3,22
Jendouba,جندوبة,22,المسرح,,6,74
Jendouba,جندوبة,22,الموسيقى,,8,204
Jendouba,جندوبة,22,تعبير جسماني,,2,99
Jendouba,جندوبة,22,سينما,,2,11
Jendouba,جندوبة,22,فن تشكيلي,,6,138
Jendouba,جندوبة,22,الإعلامية,,2,20
Jendouba,جندوبة,22,اختصاصات اخرى,,2,23
Le Kef,الكاف,23,ادبي وفكري,,4,53
Le Kef,الكاف,23,المسرح,,11,148
Le Kef,الكاف,23,الموسيقى,,6,77
Le Kef,الكاف,23,تعبير جسماني,,6,17
Le Kef,الكاف,23,سينما,,4,92
Le Kef,الكاف,23,فن تشكيلي,,12,137
Le Kef,الكاف,23,الإعلامية,,4,64
Le Kef,الكاف,23,اختصاصات اخرى,,5,83
Siliana,سليانة,24,ادبي وفكري,,3,30
Siliana,سليانة,24,المسرح,,9,161
Siliana,سليانة,24,الموسيقى,,3,95
Siliana,سليانة,24,تعبير جسماني,,5,78
Siliana,سليانة,24,سينما,,4,53
Siliana,سليانة,24,فن تشكيلي,,9,229
Siliana,سليانة,24,الإعلامية,,5,126
Siliana,سليانة,24,اختصاصات اخرى,,3,35
Sousse,سوسة,31,ادبي وفكري,,5,110
Sousse,سوسة,31,المسرح,,10,377
Sousse,سوسة,31,الموسيقى,,9,185
Sousse,سوسة,31,تعبير جسماني,,5,112
Sousse,سوسة,31,سينما,,6,93
Sousse,سوسة,31,فن تشكيلي,,18,377
Sousse,سوسة,31,الإعلامية,,8,145
Sousse,سوسة,31,اختصاصات اخرى,,2,8
Monastir,المنستير,32,ادبي وفكري,,4,60
Monastir,المنستير,32,المسرح,,10,152
Monastir,المنستير,32,الموسيقى,,11,218
Monastir,المنستير,32,تعبير جسماني,,3,38
Monastir,المنستير,32,سينما,,3,31
Monastir,المنستير,32,فن تشكيلي,,19,341
Monastir,المنستير,32,الإعلامية,,5,62
Monastir,المنستير,32,اختصاصات اخرى,,8,104
Mahdia,المهدية,33,ادبي وفكري,,5,77
Mahdia,المهدية,33,المسرح,,9,126
Mahdia,المهدية,33,الموسيقى,,12,231
Mahdia,المهدية,33,تعبير جسماني,,2,28
Mahdia,المهدية,33,سينما,,3,30
Mahdia,المهدية,33,فن تشكيلي,,11,195
Mahdia,المهدية,33,الإعلامية,,5,87
Mahdia,المهدية,33,اختصاصات اخرى,,9,167
Sfax,صفاقس,34,ادبي وفكري,,9,114
Sfax,صفاقس,34,المسرح,,15,272
Sfax,صفاقس,34,الموسيقى,,25,755
Sfax,صفاقس,34,تعبير جسماني,,4,39
Sfax,صفاقس,34,سينما,,8,215
Sfax,صفاقس,34,فن تشكيلي,,18,300
Sfax,صفاقس,34,الإعلامية,,5,67
Sfax,صفاقس,34,اختصاصات اخرى,,4,83
Kairouan,القيروان,41,ادبي وفكري,,1,10
Kairouan,القيروان,41,المسرح,,6,177
Kairouan,القيروان,41,الموسيقى,,3,35
Kairouan,القيروان,41,تعبير جسماني,,3,55
Kairouan,القيروان,41,سينما,,2,58
Kairouan,القيروان,41,فن تشكيلي,,8,191
Kairouan,القيروان,41,الإعلامية,,3,85
Kairouan,القيروان,41,اختصاصات اخرى,,2,38
Kassérine,القصرين,42,ادبي وفكري,,9,81
Kassérine,القصرين,42,المسرح,,14,186
Kassérine,القصرين,42,الموسيقى,,5,65
Kassérine,القصرين,42,تعبير جسماني,,2,21
Kassérine,القصرين,42,سينما,,4,95
Kassérine,القصرين,42,فن تشكيلي,,12,159
Kassérine,القصرين,42,الإعلامية,,6,98
Kassérine,القصرين,42,اختصاصات اخرى,,7,79
Sidi Bou Zid,سيدي بوزيد,43,ادبي وفكري,,4,76
Sidi Bou Zid,سيدي بوزيد,43,المسرح,,4,66
Sidi Bou Zid,سيدي بوزيد,43,الموسيقى,,7,125
Sidi Bou Zid,سيدي بوزيد,43,تعبير جسماني,,4,38
Sidi Bou Zid,سيدي بوزيد,43,سينما,,9,215
Sidi Bou Zid,سيدي بوزيد,43,فن تشكيلي,,12,169
Sidi Bou Zid,سيدي بوزيد,43,الإعلامية,,6,108
Sidi Bou Zid,سيدي بوزيد,43,اختصاصات اخرى,,11,131
Gabès,قابس,51,ادبي وفكري,,3,51
Gabès,قابس,51,المسرح,,6,70
Gabès,قابس,51,الموسيقى,,3,39
Gabès,قابس,51,تعبير جسماني,,3,30
Gabès,قابس,51,سينما,,1,12
Gabès,قابس,51,فن تشكيلي,,10,117
Gabès,قابس,51,الإعلامية,,5,91
Gabès,قابس,51,اختصاصات اخرى,,0,0
Médenine,مدنين,52,ادبي وفكري,,2,18
Médenine,مدنين,52,المسرح,,9,204
Médenine,مدنين,52,الموسيقى,,8,224
Médenine,مدنين,52,تعبير جسماني,,1,30
Médenine,مدنين,52,سينما,,0,0
Médenine,مدنين,52,فن تشكيلي,,9,179
Médenine,مدنين,52,الإعلامية,,3,70
Médenine,مدنين,52,اختصاصات اخرى,,2,18
Tataouine,تطاوين,53,ادبي وفكري,,5,61
Tataouine,تطاوين,53,المسرح,,4,67
Tataouine,تطاوين,53,الموسيقى,,4,62
Tataouine,تطاوين,53,تعبير جسماني,,2,40
Tataouine,تطاوين,53,سينما,,3,45
Tataouine,تطاوين,53,فن تشكيلي,,12,190
Tataouine,تطاوين,53,الإعلامية,,5,87
Tataouine,تطاوين,53,اختصاصات اخرى,,2,10
Gafsa,قفصة,61,ادبي وفكري,,6,109
Gafsa,قفصة,61,المسرح,,8,162
Gafsa,قفصة,61,الموسيقى,,7,200
Gafsa,قفصة,61,تعبير جسماني,,4,111
Gafsa,قفصة,61,سينما,,3,39
Gafsa,قفصة,61,فن تشكيلي,,11,192
Gafsa,قفصة,61,الإعلامية,,8,113
Gafsa,قفصة,61,اختصاصات اخرى,,6,62
Tozeur,توزر,62,ادبي وفكري,,2,50
Tozeur,توزر,62,المسرح,,3,45
Tozeur,توزر,62,الموسيقى,,3,68
Tozeur,توزر,62,تعبير جسماني,,0,0
Tozeur,توزر,62,سينما,,0,0
Tozeur,توزر,62,فن تشكيلي,,4,140
Tozeur,توزر,62,الإعلامية,,3,58
Tozeur,توزر,62,اختصاصات اخرى,,4,103
Kebili,قبلي,63,ادبي وفكري,,1,5
Kebili,قبلي,63,المسرح,,3,59
Kebili,قبلي,63,الموسيقى,,1,20
Kebili,قبلي,63,تعبير جسماني,,0,0
Kebili,قبلي,63,سينما,,1,27
Kebili,قبلي,63,فن تشكيلي,,11,50
Kebili,قبلي,63,الإعلامية,,4,87
Kebili,قبلي,63,اختصاصات اخرى,,1,16
Kebili,قبلي,63,ادبي وفكري,,1,5
