gov_name_f,gov_name_a,gov_id,association_f,association_a,secteur_f,secteur_a,subvention
Tunis,تونس,11,,الجمعية التونسية للنهوض بالنقد السينمائي,Arts audivisuels,الفنون السمعية البصرية,14000
Tunis,تونس,11,,الجامعة التونسية لنوادي السينما,Arts audivisuels,الفنون السمعية البصرية,29000
Tunis,تونس,11,,جمعيّة المخرجين السينمائيين التونسيين,Arts audivisuels,الفنون السمعية البصرية,13000
Tunis,تونس,11,,جمعية السينمائيين التونسيين المستقلين,Arts audivisuels,الفنون السمعية البصرية,6000
Tunis,تونس,11,,وداديّة خريجي المدرسة الوطنيّة للادارة,Activation culturelle,التنشيط الثقافي,5000
Tunis,تونس,11,,جمعية الشارع فن,Activation culturelle,التنشيط الثقافي,15000
Tunis,تونس,11,,جمعيّـة دار الموسيقي ,Musique,الموسيقى,20000
Tunis,تونس,11,,جمعية المعهد الرشيدي للموسيقى التونسية,Musique,الموسيقى,105000
Tunis,تونس,11,,جمعية إبصار للثقافة و الترفيه,Musique,الموسيقى,10000
Tunis,تونس,11,,الجمعيّة التونسيّة لفنون الخطّ,Arts plastiques,الفنون التشكيلية,1500
Tunis,تونس,11,,الجمعيّة التونسيّة للجماليات والانشائيّة,Arts plastiques,الفنون التشكيلية,1500
Tunis,تونس,11,,اتحاد الفنانين التونسيين,Arts plastiques,الفنون التشكيلية,20000
Tunis,تونس,11,,الرابطة التونسية للفنون التشكيلية,Arts plastiques,الفنون التشكيلية,8000
Tunis,تونس,11,,جمعية المكان لفن الحاضر,Arts plastiques,الفنون التشكيلية,3000
Tunis,تونس,11,,اتّحاد الكتّاب التونسيين,Lettre,الآداب,60000
Tunis,تونس,11,,الرابطة العربية للفنون و الابداع,Lettre,الآداب,6000
Tunis,تونس,11,,جمعيّة تنمية اللغة العربية و حمايتها,Lettre,الآداب,3000
Tunis,تونس,11,,مؤسسة أحمد التليلي للثقافة الديمقراطية,Lettre,الآداب,3000
Tunis,تونس,11,,النادي الثقافي أبو القاسم الشابي,Lettre,الآداب,10000
Tunis,تونس,11,,الجمعيّة التونسيّة لصيانة المعالم والمتاحف,Patrimoine,التراث,5000
Tunis,تونس,11,,الجمعية التونسية للتراث و البيئة,Patrimoine,التراث,2000
Tunis,تونس,11,,جمعية مهرجان المدينة تونس,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,30250
Tunis,تونس,11,,الجمعيّة الرياضيّة بوزارة الشؤون الثقافية,Autres compétences,اختصاصات أخرى,10000
Tunis,تونس,11,,تعاونية وزارة الشؤون الثقافية,Autres compétences,اختصاصات أخرى,6000
Ariana,أريانة,12,,الجمعية التونسية للمحافظة على الرياضات التراثية,Patrimoine,التراث,5000
Ariana,أريانة,12,,جمعية مكتريس للفروسية و المحافظة على التراث,Patrimoine,التراث,3000
Ariana,أريانة,12,,جمعيّة فنون للتنشيط الثقافي والمسرحي,Arts scéniques,الفنون الركحية,2000
Ariana,أريانة,12,,جمعيّة ناس الفنّ,Arts audivisuels,الفنون السمعية البصرية,35000
Ben Arous,بن عروس,13,,جمعيّة فرحة للفنون الركحيّة,Arts scéniques,الفنون الركحية,3000
Ben Arous,بن عروس,13,,جمعية بدر للموسيقى و الفن,Arts scéniques,الفنون الركحية,2000
Ben Arous,بن عروس,13,,جمعيّة ثقافة وابداع ,Activation culturelle,التنشيط الثقافي,2000
Ben Arous,بن عروس,13,,جمعيّة ابصار لثقافة وترفيه ذوي الاعاقة البصريّة,Musique,الموسيقى,3000
Ben Arous,بن عروس,13,,جمعيّة المهرجان الصيفي والتّظاهرات الثقافيّة,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,3000
Manubah,منوبة,14,,جمعيّة محمد عبد العزيز العقربي للمسرح,Arts scéniques,الفنون الركحية,9000
Manubah,منوبة,14,,جمعيّة الابداع المسرحي,Arts scéniques,الفنون الركحية,2000
Manubah,منوبة,14,,جمعيّة احبّك يا وطني للتنمية الثقافيّة والاجتماعيّة,Activation culturelle,التنشيط الثقافي,2000
Manubah,منوبة,14,,جمعيّة الفنّانات المغاربيات,Arts plastiques,الفنون التشكيلية,5000
Nabeul,نابل,15,,جمعية مهرجان قربة الوطني لمسرح الهواة,Arts scéniques,الفنون الركحية,20000
Nabeul,نابل,15,,جمعية مهرجان نيابوليس الدولي,Arts scéniques,الفنون الركحية,20000
Nabeul,نابل,15,,جمعية منتدى هرمايابالهوارية,Arts audivisuels,الفنون السمعية البصرية,4000
Nabeul,نابل,15,,الجامعة التونسية للسينمائيين الهواة,Arts audivisuels,الفنون السمعية البصرية,60000
Nabeul,نابل,15,,جمعيّة فسيفساء للموسيقى والفنون بنابل,Musique,الموسيقى,4000
Nabeul,نابل,15,,جمعيّة آرتاتيتود,Arts plastiques,الفنون التشكيلية,10000
Nabeul,نابل,15,,جمعية منارة الأدب بقليبية,Lettre,الآداب,6000
Nabeul,نابل,15,,جمعية مهرجان الساف بالهوارية,Patrimoine,التراث,5000
Nabeul,نابل,15,,جمعية التنشيط و المهرجانات بنابل,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,15000
Zaghouan,زغوان,16,,جمعية مهرجان الخرجة بالزريبة,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,2000
Bizerte,بنزرت,17,,جمعية النهضة التمثيلية ببنزرت,,الفنون الركحية,7000
Bizerte,بنزرت,17,,جمعية ماطريس لمهرجان مسرح الطفل,,الفنون الركحية,3000
Bizerte,بنزرت,17,,الجمعية الوطنية للتنمية و السياحة الثقافية,,الفنون التشكيلية,2000
Bizerte,بنزرت,17,,الجمعية التونسية للجامعة المفتوحة,,الآداب,3000
Bizerte,بنزرت,17,,جمعية مهرجان بنزرت الدولي,,المهرجانات و التظاهرات الثقافية,85000
Béja,باجة,21,,جمعيّة مسرح الامل الجديد بباجة,Atrs scéniques,الفنون الركحية,3000
Jendouba,جندوبة,22,,جمعيّة اوتار,Musique,الموسيقى,4000
Jendouba,جندوبة,22,,جمعية شباب و أفاق,Lettre,الآداب,5000
Jendouba,جندوبة,22,, الجمعيّة التنمويّة الثقافيّة مكرمة,Lettre,الآداب,9000
Jendouba,جندوبة,22,,جمعيّة مهرجان الربيع العربي للاداب والفنون,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,10000
Le Kef,الكاف,23,,جمعية صيانة و إنماء مدينة الكاف,Patrimoine,التراث,7000
Siliana,سليانة,24,,جمعية السلام للمسرح,Arts scéniques,الفنون الركحية,5000
Siliana,سليانة,24,,جمعيّة رقش للثقافة والفن والتّصميم,Activation culturelle,التنشيط الثقافي,9000
Siliana,سليانة,24,,جمعية الفروسية و الرماية بمكثر,Patrimoine,التراث,5000
Siliana,سليانة,24,,جمعية مهرجان سيدي حمادة للثقافة و إحياء التراث,Patrimoine,التراث,5000
Siliana,سليانة,24,,جمعية حماية التراث ببر سليانة,Patrimoine,التراث,5000
Siliana,سليانة,24,,الجمعية التونسية للألعاب الفروسية سيدي بورويس,Patrimoine,التراث,5000
Siliana,سليانة,24,,جمعية مهرجان المدينة سليانة,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,10000
Siliana,سليانة,24,,جمعية مهرجان سليانة الصيفي,Manifestations et Festivals,المهرجانات و التظاهرات الثقافية,25000
Sousse,سوسة,31,,جمعية علوم و تراث,Patrimoine,التراث,3000
