gov_name_f,gov_name_a,gov_id,date,association_f,association_a,titre_f,titre_a,subvention_2016,subvention_2017
Tunis,تونس,11,15/02/2017,,اتحاد الفنانين التشكيليين ,,منحة تسيير سنة 2017 ,20000,25000
Tunis,تونس,11,10/05/2017,,الجمعية التونسية لفنون الخط,,الدورة 5 لمعرض الخطاطين التونسيين 18 ديسمبر 2017,1500,2000
Tunis,تونس,11,01/11/2017,,الجمعية المتوسطية للفنون التشكيلية المعاصرة,,"تنظيم ندوة دولية حول ""تقاطعات الفنون البصرية مع الموسيقى""",0,7000
Tunis,تونس,11,01/11/2017,,الرابطة التونسية للفنون التشكيلية,,البرنامج السنوي لسنة 2017,8000,12000
Ariana,أريانة,12,22/03/2017,,جمعية الفن التشكيلي التونسي,,تنظيم الدورة الثانية لمعرض Petits Formats  وورشة فنية Workshop,0,5000
Manubah,منوبة,14,01/03/2017,,جمعية الفنانات المغاربيات,,البرنامج السنوي لسنة 2017,5000,6000
Nabeul,نابل,15,12/04/2017,,جمعية ارت اتيتود,,تنظيم الدورة الرابعة للأيام المتوسطية للفنون البصرية بالحمامات,10000,10000
Nabeul,نابل,15,31/05/2017,,الجمعية التونسية للفنون والوساطة ,,الدورة 2 لتظاهرة بينالي المثاقفة الأورومتوسطية,2000,3000
Siliana,سليانة,24,15/02/2017,,جمعية رقش للثقافة والفنون والتصميم,,تنظيم الدورة الثالثة للمهرجان الدولي للفن والشباب والمدينة,9000,10000
Monastir,المنستير,32,03/05/2017,,جمعية الفنون الجميلة بالمنستير,,الدورة 15 للمهرجان الدولي للفنون التشكيلية بالمنستير,5000,7000
Mahdia,المهدية,33,12/04/2017,,جمعية الطفل والإبداع بالشابة,,تنظيم الدورة الأولى لمهرجان الفنون التشكيلية بالشابة,0,5000
Sfax,صفاقس,34,03/05/2017,,جمعية المهرجان الدولي للفنون التشكيلية بالمحرس,,تنظيم الدورة 30 للمهرجان الدولي للفنون التشكيلية بالمحرس,50000,50000
Sfax,صفاقس,34,04/07/2017,,جمعية أحباء الفنون التشكيلية برج قلال,,تنظيم تظاهرة في الفنون التشكيلية ارساء في المتوسط من 08-10 سبتمبر 2017,6000,6000
Gabès,قابس,51,13/10/2017,,جمعية دار الفنون بقابس,,الدورة الخامسة للملتقى الدولي للخط العربي,0,10000
Gafsa,قفصة,54,10/05/2017,,جمعية أحباء الكاريكاتير بقفصة,,الدورة 6 لملتقى قفصة الدولي للكاريكاتير,2800,3500
Tozeur,توزر,62,04/07/2017,,جمعية فنون الجريد,,تنظيم الدورة الرابعة للمهرجان,0,4000
