gov_name_f,gov_name_a,gov_id,maison_culture_f,maison_culture_a,adresse_f,adresse_a,Latitude,Longitude
Tunis,تونس,11,,دار الجمعيات الثقافية العاشورية,, 62 نهج عاشور،1059 باب سويقة   ,36.80258,10.16858
Tunis,تونس,11,,دار الثقافة ابن خلدون,,16 نهج ابن خلدون، 1001 تونس ,36.79803,10.18280
Tunis,تونس,11,,دار المسرح والسينما ابن رشيق,,20 شارع باريس، 1000 تونس ,36.80151,10.18108
Tunis,تونس,11,,دار الثقافة أحمد خير الدين ,,نهج العسل، 1006 باب سويقة,36.81285,10.16885
Tunis,تونس,11,,دار الثقافة الكرم الغربي,,شارع فرحات حشاد، 2015 الكرم,36.83329,10.31696
Tunis,تونس,11,,دار الثقافة ابن زيدون,,طريق المستشفى العسكري، 1005 تونس ,36.81590,10.15986
Tunis,تونس,11,,الجمعيات الطبية السليمانية,,13 نهج المدرسة السليمانية، 1000 تونس ,36.79660,10.17187
Tunis,تونس,11,,دار الثقافة الطيب المهيري,,حي الزهور األول 2052 – تونس,36.79763,10.13409
Tunis,تونس,11,,دار الثقافة حي الحديقة,,ص - ب 52، 2062 ابن خلدون,36.82535,10.13416
Tunis,تونس,11,,النادي الثقافي الطاهر الحداد,,20 نهج التريبونال، 1006 تونس ,36.80199,10.16795
Tunis,تونس,11,,دار الثقافة الشاذلي خزندار ,,شارع الهادي شاكر، 2060 حلق الوادي,36.81639,10.30270
Tunis,تونس,11,,دار الثقافة مصطفى آغة,,17 نهج الطيب المهيري، 2015 الكرم ,36.83854,10.30639
Tunis,تونس,11,,دار الثقافة قرطاج محمد علي,,حي محمد علي – ص.ب. – 46- 2085 قرطاج,36.85397,10.31218
Tunis,تونس,11,,دار الثقافة قرطاج الياسمينة,,نهج العياشي بن أحمد، 2016 قرطاج الياسمينة,36.84778,10.31104
Tunis,تونس,11,,دار الثقافة عين زغوان,,شارع الحبيب بورقيبة، 2046 عين زغوان,36.85618,10.28147
Tunis,تونس,11,,دار الثقافة باردو,,نهج 13 أوت، 2000 باردو,36.80687,10.13914
Tunis,تونس,11,,دار الثقافة البشير خريف,,2052 تونس حي الطيران ,36.79607,10.14782
Tunis,تونس,11,,دار الثقافة عثمان الكعاك,,22، شارع عمر المختار قمرت 2070 المرسى,36.91412,10.28422
